,text,embeddings,distances
15,"Over 570 aftershocks were recorded within 24 hours of the Mw 7.8 earthquake and over 30,000 recorded by May 2023. An aftershock measuring Mww 6.7 occurred about 11 minutes after the mainshock. There were 25 aftershocks Mw 4.0 or greater recorded within six hours of the main tremor, according to the USGS. More than 12 hours later, the USGS had reported at least 54 aftershocks of 4.3 or greater magnitude, while the Turkish Disaster and Emergency Management Presidency (AFAD) recorded at least 120 total aftershocks.","[-0.01379483 -0.01919569 -0.00127955 ... -0.00192888 -0.01213865
 -0.02240163]",0.16669583531712007
36,"Small tsunami waves were recorded off the coast of Famagusta, Cyprus, without damage. The tsunami measured 0.17 m (6.7 in), and tsunami waves were recorded at 0.12 m (4.7 in) at İskenderun and 0.13 m (5.1 in) at Erdemli. Tsunami warnings were issued for the southern Turkish coast, southern and eastern Italian coasts and the whole eastern Mediterranean Sea area, but later withdrawn.","[ 0.00739521 -0.01196679  0.00630609 ... -0.01914686  0.0063229
 -0.02057212]",0.16726931885360397
55,"In Osmaniye Province, of the 22,841 buildings surveyed, 2,531 were heavily damaged, destroyed or required demolition. Additionally, 16,111 houses collapsed or were badly damaged. Nearly half of the affected buildings were included in Osmaniye city, where 1,088 of the 13,667 buildings examined in Merkez District were destroyed, seriously damaged or needed to be demolished. In Düziçi, 192 buildings were destroyed or required demolition, with the collapse of a single building killing 41 people, including 29 Syrians. Many additional buildings were also destroyed or needed to be demolished in the province, including 174 in Bahçe, 111 in Kadirli, 87 in Hasanbeyli, 19 in Toprakkale and 13 in Sumbas.","[-0.01419972  0.00437456 -0.00474665 ...  0.00208504 -0.02019337
 -0.01087439]",0.16731306030343107
65,"According to the International Rescue Committee, the earthquake struck when rebel-held areas were preparing for a blizzard and experiencing a cholera outbreak. In Aleppo, dozens of buildings collapsed and at least 444 people died, including 163 children. By 8 February, the bodies of 210 victims were returned to their families. The Directorate-General of Antiquities and Museums said various archeological sites across the city were extensively cracked or collapsed. Cracks were also reported in the outer façade of the Aleppo National Museum. In Atarib, Aleppo, the Syrian American Medical Society hospital said 120 bodies were recovered. About 20,000 homes were affected in Aleppo, leaving 70,000 homeless. Total damage in the city exceeded US$403 million. In Rajo, the doors and walls of a prison facility cracked. Twenty prisoners, believed to be Islamic State (ISIS) members, escaped the facility.","[-0.0063606   0.00502511 -0.00613574 ...  0.00686822 -0.01022738
 -0.01591682]",0.16804635859312023
48,"In Samandağ, 670 buildings collapsed, 9,212 were badly damaged or required demolition and 7,850 people died. In Kırıkhan District, 1,886 buildings collapsed and 7,190 others were severely damaged or required demolition; the district recorded approximately 3,000 fatalities, 5,000 injuries and many more missing. In the village of Bektashli, 49 people died after their homes collapsed due to severe rockfalls. A section of the Kırıkhan-Reyhanlı highway near Akpınar was severely damaged and buckled. In Erzin District, 31 buildings collapsed and 897 were heavily damaged or had to be demolished. However, there were no collapses or major damage in Erzin, the largest town in the district. Multiple factors including strict building codes prevented destruction. An estimated 20,000 people fled to Erzin, increasing its population by about 50 percent. At least 700 people died, 187 buildings collapsed, 2,176 others were badly damaged and 194 others had to be demolished in Arsuz. However, like in Erzin, numerous people fled to the district, resulting in the district's population tripling by June 2023. At least 1,046 buildings collapsed and 3,452 others were severely damaged or had to be demolished in Hassa District, where 400 people were killed. In Altınözü, 838 buildings were destroyed, 3,892 others were badly damaged and 650 others required demolition. There were 213 collapsed buildings and 1,453 others had been severely damaged or had to be demolished in Yayladağı. At least 139 buildings collapsed, 755 others were badly damaged and 87 others had to be demolished in Belen. In Dörtyol, 115 buildings were destroyed and 2,030 others had to be demolished or were severely damaged.","[-0.00097198  0.01347238 -0.00334469 ... -0.00825727 -0.01698256
 -0.02503256]",0.16821979722065816
29,"Ground acceleration values recorded in some areas near the fault rupture were in excess of 1 g. Three USGS seismic installations, two at Antakya and one at Hassa, recorded large ground accelerations and velocities. The town of Hassa recorded 0.9082 g in ground acceleration (pga) and 215.34 cm/s (84.78 in/s) in ground velocity. The station data corresponded to a Modified Mercalli intensity of X (Extreme). A peak ground acceleration of 1.62 g was recorded by a station at Fevzipaşa. The peak ground acceleration generally exceeded 0.5 g in a large area around the epicenter, near Adiyaman and a large part of Hatay. High pga values of 2 g were recorded in Hatay. The maximum recorded pga was 2.212 g at a station in Pazarcık Belediyesi Parkı, Pazarcık; a government health facility nearby had limited damage but the surrounding town was devastated. The maximum recorded pga during the Mw  7.7 earthquake was 0.59 g at Göksun.","[-8.84026522e-05 -1.83868979e-03  4.88268584e-03 ... -8.22203327e-03
 -1.21759847e-02 -1.35485996e-02]",0.16857954111217321
83,"The World Bank said it would provide US$1.78 billion in aid for Turkey to support the relief and recovery process. ""We are providing immediate assistance and preparing a rapid assessment of the urgent and massive needs on the ground,"" said World Bank President David Malpass.","[-0.02363464 -0.01908657  0.00686043 ... -0.00174226 -0.01412968
 -0.00503993]",0.16974008461711776
4,"Damaged roads, winter storms, and disruption to communications hampered the Disaster and Emergency Management Presidency's rescue and relief effort, which included a 60,000-strong search-and-rescue force, 5,000 health workers and 30,000 volunteers. Following Turkey's call for international help, more than 141,000 people from 94 countries joined the rescue effort.","[-0.01819924 -0.01446741 -0.00980919 ... -0.01105752 -0.01409948
 -0.02948671]",0.1699401787102618
92,"Health authorities in Turkey had to ensure earthquake survivors were free of disease. The World Health Organization collaborated with local authorities to monitor the rates of waterborne diseases, seasonal influenza and COVID-19 among the affected.","[ 0.01135094 -0.02431508  0.0049762  ... -0.00339227 -0.01392035
 -0.0049762 ]",0.1706682342659408
54,"At least 466 buildings were heavily damaged in Şanlıurfa Province; 201 were destroyed. Structures around the Pool of Abraham were damaged. The minaret at the religious shrine partially collapsed, sending rubble into the pools below and discoloring the water, which was also contaminated by seeping sewage. In Eyyübiye District, the minaret of the Eyüp Prophet Mosque was damaged and removed. Thirty-three people were killed in the collapse of the Osman Ağan Apartment.","[-0.00815109 -0.01269805 -0.01350045 ... -0.00230524  0.00354395
 -0.01039782]",0.170815458827701
42,"Across Gaziantep Province, 12,964 buildings, 31,522 apartments and 29,155 houses collapsed, were severely damaged or required demolition, while 486,779 other structures, including 256,748 houses, 196,199 apartments and 33,832 buildings had been damaged. Many historical sites were severely damaged, such as Gaziantep Castle, Şirvani Mosque and Liberation Mosque. The city recorded 16,211 collapses and buildings which were severely damaged or required demolition. In the city center, at least 154 people died after a four-story building collapsed; four other collapsed buildings left another 102 dead. In Nizip, at least 51 people were killed when a six-story apartment building collapsed. Gaziantep Oğuzeli Airport was forced to restrict its service to rescue flights.","[-0.00702183  0.00025295  0.01237813 ... -0.00041138 -0.00818769
 -0.03229773]",0.17146096139517786
32,Subsidence due to lateral spreading caused extensive damage in İskenderun. Liquefaction produced sand ejecta that buried Atatürk Boulevard in Çay District. Regular flooding in the city was observed after the earthquakes. Earlier flooding may be attributed to liquefaction while subsequent occurrences may be due to damage to the coast and water infrastructure. The sea inundated parts of the city by as much as 200 m (660 ft). Large areas of the coast and sections of piers were flooded due to lateral spreading. Large waves from bad weather and a tsunami may have contributed to the effects observed at İskenderun.,"[-0.00201771 -0.01255539  0.01348796 ... -0.01459196 -0.00501941
 -0.03623303]",0.17155705971719448
67,"At least 6,600 Syrians residing in Turkey were killed. According to Turkey's Presidency of Migration Management 1.75 million Syrians live in southern Turkey; 460,150 in Gaziantep; 354,000 in Antakya; 368,000 in Şanlıurfa; 250,000 in Adana. Turkey's health ministry returned the bodies of 1,793 Syrian victims to their relatives in Syria, while thousands of Syrians were buried in Turkey due to difficulties transporting them to Syria. At least 11 Iraqi war refugees died in Turkey.","[ 0.01647264 -0.01658855  0.00063511 ... -0.00461723 -0.00130323
 -0.01206148]",0.1739154796517891
49,"Mass burials occurred in Kahramanmaraş for more than 5,000 bodies. A city official said the mass grave would eventually be the burial ground for 10,000 bodies. Around 75 percent of the city's buildings were damaged or destroyed. In Türkoğlu, 1,171 buildings collapsed and 4,500 others required demolition. At least 413 people were killed, 379 were injured and 872 buildings collapsed in Pazarcık District. At Ordekdede, a village in the district, 34 people died and almost all single-story buildings were decimated, with none of the village's 140 houses structurally stable.","[-0.0019471  -0.00521552 -0.00087479 ...  0.00476733 -0.01821945
 -0.01873735]",0.17411595373358502
64,"The Syrian American Medical Society's president, Amjad Rass, said emergency rooms were packed with injured. In Idlib Governorate, one hospital received 30 bodies. In the village of Azmarin, Idlib Governorate, at least 260 people died, 300 were injured, and 100 were rescued. Fifteen buildings in the village were leveled and about 50 percent of its housing stock had cracks. Footballer Nader Joukhadar, who played for the Syria national football team, died alongside his son when their home collapsed in Jableh.","[-0.00997548  0.02112376  0.00138005 ... -0.01814459  0.00557077
 -0.01935783]",0.1743932169826209
69,"In Lebanon, residents were awakened from their sleep. Buildings in the country shook for up to 40 seconds. In Beirut, residents fled their homes and stayed in streets or drove in their vehicles to flee from buildings. The earthquake damaged 16,200 buildings across the country, including 10,460 in Beirut and 4,000 in Tripoli.","[-0.00028923  0.00716906  0.00033554 ... -0.01908283 -0.01091283
 -0.02945619]",0.17457371844559222
84,"Investigative reports revealed that the Syrian government had deliberately obstructed aid to all of Syria's opposition-held areas, including the Idlib region, which was the worst-struck area in the earthquake. Syrian government officials and state-run media blamed United States and European Union sanctions against the country for the lack of humanitarian aid and hampering rescue. On 10 February, Syrian president Bashar al-Assad accused Western countries of having ""no regard for the human condition."" The United States Department of the Treasury said its sanctions had already made ""robust exemptions for humanitarian efforts"", and that after the earthquake it issued a blanket authorization for relief efforts. The United Nations has also been criticized for its policy of focusing aid shipments solely towards the regime, at the expense of Syrian lives in opposition-held territories.","[-0.01430763 -0.00730173 -0.01448244 ... -0.00126738  0.0007753
  0.00018479]",0.17461516693621448
47,"In İskenderun, Hatay Province, a large fire at the port was reported on 6 February at 17:00, believed to have originated from a container carrying flammable industrial oil, forcing the port's closure and the diversion of many ships. It was extinguished on 6 and 8 February, only for it to reignite the next day each time. It was finally extinguished on 10 February. A total of 3,670 containers were destroyed by the fire and the port managing authority said it would take three months for operations to resume. The city saw 534 buildings collapse, 337 requiring demolition and 4,622 receiving severe damage. Flooding occurred along the city shoreline, inundating streets up to 200 m (660 ft) inland. The Cathedral of the Annunciation, seat of the Roman Catholic Apostolic Vicariate of Anatolia, was almost completely destroyed. At least 3,109 people died in the city and over 12,000 were injured. ","[-0.01584052 -0.02111157  0.00149232 ...  0.00777651 -0.01119926
 -0.01915376]",0.17557757619619996
51,"In Adıyaman Province, over 20,000 buildings and 56,256 houses were destroyed. In the city of Adıyaman, four neighborhoods were razed. Many buildings along Atatürk Boulevard collapsed. The city hall, a 6th-century mosque and Gölbaşı District's state hospital were also destroyed. Isias Hotel, the largest hotel in the city, also collapsed, killing 65 people. Up to 10 percent of Adıyaman's population perished. The mayor of Kömür said the Karapınar and Bahçelievler neighborhoods were nearly destroyed. In the nearby village of Yaylakonak, 270 of the 280 homes were destroyed and 107 people died, including 32 children.","[-0.00262773 -0.00398484 -0.01152875 ...  0.001486   -0.00805616
 -0.01583291]",0.17577467031878413
10,"Large earthquakes on the northern part of the DST include events in 115, 526, 587, 1138, 1170 and 1822, which resulted in several tens of thousands to several hundreds of thousands of fatalities.","[ 0.00689351 -0.00659058  0.01016524 ...  0.00949205 -0.0228213
 -0.01225214]",0.1779269382386266
59,"According to Turkish-backed officials on 2 February 2024, 4,537 people died in rebel-held areas while 1,414 died in government-controlled areas. The International Blue Crescent placed the death toll in Syria at 8,476. The Syrian Ministry of Health said over 2,248 died, most were in Aleppo and Latakia. In rebel-held areas, at least 4,547 people died. In a report by the International Medical Corps dated 8 March 2023, 7,259 people were confirmed dead.","[ 0.00404903  0.00895597 -0.00965139 ...  0.00686321  0.00169143
 -0.00879349]",0.17839727569409114
25,The Mw  6.4 aftershock on 20 February occurred along the Hatay Fault. The focal mechanism indicated normal faulting along a northeast–southwest striking fault.,"[-0.02685581 -0.01828872  0.00975442 ...  0.02293305  0.00852118
 -0.01840679]",0.17850953487518584
99,List of costliest earthquakes,"[-0.00521944 -0.00681772  0.02020118 ... -0.01933127 -0.00217822
 -0.02619387]",0.17862120129350778
26,"The extent of surface ruptures associated with the M7.8 and M7.7 earthquakes have been mapped using a mixture of satellite imagery and ground observations. Pixel matching on images captured by Sentinel-1 before and after the earthquakes showed sharp discontinuities in displacement, revealing two separate zones of surface rupture. The longer of the pair, produced by the first earthquake, measured 320 km (200 mi) while the second earthquake produced 150 km (93 mi) of surface rupture. These observations were backed up with direct imaging of the ruptures using other satellite data, such as from the DigitalGlobe's WorldView-1, 2 & 3 and GeoEye-1, and by field work. The surface rupture and focal mechanism during the first subevent on the Narlı Fault also indicated a large normal faulting component.","[-0.00147838 -0.01209229  0.01637695 ... -0.00480835 -0.01945103
 -0.02864607]",0.1795252773021776
41,"At least 300 buildings were razed in Malatya. Sixty percent of the city's buildings received damage. Nearly every neighborhood of the city was affected by collapsed buildings. Out of the 968 mosques in the city, 25 were destroyed and 420 others were damaged. Two hotels collapsed in Malatya, causing many casualties. The ceiling of Malatya Erhaç Airport experienced a partial collapse, as did the historic Yeni Camii mosque. Damage was also reported at the Arslantepe Mound. In Akçadağ, 29 people died, 93 were injured, 32 buildings collapsed and 78 were seriously damaged. At least 263 deaths were reported in Doğanşehir, where roughly 6,000 of the 12,000 buildings collapsed or suffered heavy damage.","[-0.02287988 -0.00042491  0.00517412 ...  0.01863076 -0.00528852
 -0.03208412]",0.1810213382333613
23,"The rupture continued northeast onto the Ekernek segment and to the southwest onto the Amanos segment. The northeastern rupture ceased 55 seconds after initiation while the southwestern rupture ceased near Antakya about 80 seconds later. A Mw 6.8 aftershock occurring 11 minutes later and west of the first M>7 epicenter may have ruptured along the Sakçagöz Fault, the next segment of the DST to the south. Rupture along the EAF during the event occurred at subshear velocity (maximum 3.2 km (2.0 mi) per second). An analysis of near-field seismic data revealed transient supershear rupture episodes throughout the EAF rupture. Supershear rupture occurred along the northernmost section of the Narlı Fault where it meets the EAF. The rupture transitioned onto the EAF and propagated northeast at supershear velocity until its termination near Malatya. Rupture towards the southwest was mostly subshear, but at the southern termination in Hatay, where the fault has multiple branches and kinks, supershear was likely observed. Supershear rupture at the southern termination contributed to the intense ground motion in Antakya.","[-0.01063699 -0.01706322 -0.0111599  ...  0.0104581   0.00022684
 -0.01865946]",0.18108915843279216
31,"Liquefaction was identified via satellite and remote sensing along the southern portion of the Mw 7.8 rupture on the East Anatolian Fault from Antakya to Gölbaşı. Liquefaction and lateral spreading were observed at and near coastal areas, fluvial valleys and drained lake or swamp areas, covered by Holocene sediments. These effects were widespread in the Amik Valley and Orontes River plain, north of Antakya, Hatay Province. Limited observations were made in high-elevation areas due to snow cover and lack of satellite observations. Liquefaction was also observed in Samandağ. At Lake Gölbaşı, Adıyaman Province, lateral spreading occurred along the northern, eastern and southern coast. Parts of the lakeshore were also submerged. Gölbaşı was also damaged by liquefaction and lateral spreading.","[-0.0160661  -0.01545879  0.01816408 ...  0.00287092 -0.01087637
 -0.01407164]",0.18162148941619916
19,"The USGS source model for the Mw 7.7 earthquake which struck nine hours later has three large fault segments with individual lengths, widths, strikes and dips of >70 km (43 mi) × >20 km (12 mi), 276°/80° (Segment 1), >40 km (25 mi) × >20 km (12 mi), 250°/80° (Segment 2) and ~80 km (50 mi) × >20 km (12 mi), 060°/80° (Segment 3). Maximum displacement occurred on Segment 1 at 11.4 m (37 ft).","[-0.00220421 -0.00092202  0.01206338 ... -0.00286812 -0.01991753
 -0.02703472]",0.18243408161581431
82,"Several United Nations agencies announced coordinated responses to the disaster, including UNDAC, OCHA, UNHCR, UNICEF and IOM. The World Health Organization's Regional Director for Europe, Hans Kluge, said the organization's regional offices were assisting international efforts to transport medicine and relief equipment. The UN released $25 million from its emergency fund for humanitarian assistance in Turkey and Syria. A second $25 million grant was released for relief efforts in Syria. UN sent humanitarian aid to Syria through Turkey via the Bab al-Hawa Border Crossing. Since then, 65 trucks have crossed, carrying health and nutrition items and other vital relief supplies for more than two million people. On 14 February, the UN appealed for €396 million to help survivors in Syria.","[-0.00247443 -0.01399332  0.01871902 ... -0.01271345 -0.01207679
 -0.00116912]",0.1826315402952149
7,"The northern part of the DST is subdivided into several segments, although there is some disagreement between scientists as to which faults should be assigned to the DST and which to the EAF, at the northernmost end of the structure. Following the 2013 ""Active Fault Map of Turkey"", seven DST segments are recognized in Turkey and neighbouring parts of Syria; the Afrin, Sermada, Armanaz, Hacıpaşa, Yesemek, Sakçagöz and Narlı segments.","[ 0.00531735 -0.00826845 -0.0053308  ...  0.03452583 -0.00145538
 -0.01056749]",0.18508184111718984
102,Lists of 21st-century earthquakes,"[-0.01779121  0.0111432   0.0283522  ... -0.00625874 -0.00630952
 -0.03208917]",0.1851169730977117
5,"Central southern Turkey and northwestern Syria are affected by the interaction between three tectonic plates; the African plate, Arabian plate and Anatolian sub-plate. The boundary between the African and Arabian plates is represented by the Dead Sea Transform (DST)—a major zone of left-lateral strike-slip fault—it accommodates the relative northward movement of Arabia with respect to Africa. The northern end of the DST truncates at the East Anatolian Fault (EAF), another major left-lateral strike-slip fault zone that accommodates the overall westward movement of the Anatolian plate as it is extruded in that direction by the northward movement of the Arabian plate. The DST and EAF meet at the Marash triple junction. The EAF continues west of the triple junction, forming the boundary between the African and Anatolian plates, linking into the Cyprus arc to the west via the Latakia Ridge.","[-0.00692908 -0.01275819  0.01967708 ...  0.01440813 -0.01842774
 -0.03957144]",0.1855847702020884
89,"Due to below-freezing temperatures in the affected areas in both Turkey and Syria, the mayor of Hatay, Lütfü Savaş, warned about the risk of hypothermia. In Adiyaman Province, some residents trapped under rubble died from hypothermia.","[ 0.00382698 -0.01690446 -0.00760701 ...  0.00283418 -0.01333574
 -0.01225574]",0.18615682495960306
70,"In Ashdod, Israel, a building was evacuated after cracks were observed in a pillar, and Champion Motors Tower in Bnei Brak was slightly damaged by the second earthquake. In Nicosia, Cyprus, some windows cracked, and the wall of a house collapsed, damaging two nearby vehicles. Six Cuvier's beaked whales were found dead along the island's northern coast on 10 February. The Department of Fisheries and Marine Research said there was a possible link between the beaching and earthquake as these whales' echolocation system are affected by sea disturbances.","[-0.02138729 -0.00102449 -0.00352474 ...  0.00904899 -0.0222062
 -0.02292958]",0.18646077304420094
33,"Both earthquakes caused shaking levels (≥0.12 g) sufficient for landslide-triggering across a 90,000 km2 (35,000 sq mi) area. About 3,673 earthquake-triggered landslides were identified using satellite imagery, aerial photos, and one field survey of the area. Landslides mainly occurred in the northern region of the affected area. Rockslides were the most commonly observed; there were also many bedrock rotational landslides, translational slides and lateral spreads. Surface ruptures propagating through hillsides also triggered landslides. These landslides blocked roads and river channels, destroyed or seriously damaged buildings and caused many deaths.","[-0.00711274 -0.00550589  0.01664742 ... -0.00229218 -0.02211671
 -0.0288502 ]",0.18771910661596047
62,"Hundreds were killed in the town of Atarib. In Jindires, over 1,100 people were killed and at least 250 buildings were razed; among the deaths were a family of seven—the only survivor was a newborn. In Jableh, at least 283 people died, 173 were injured and 19 buildings collapsed. Four bodies were recovered and 15 bodies were in the process of recovery during debris clearance on 10 February. On 11 February, six bodies were retrieved from the rubble of a collapsed house along al-Maliyeh Street. Civilians were stuck under the rubble for hours due to the lack of rescue teams in several villages such as Atarib, Besnaya, Jindires, Maland, Salqin and Sarmada. In Latakia Governorate, 142,000 people were affected; at least 805 people died and 1,131 others were injured. The region's governor said 105 buildings were destroyed, 247 were at risk of collapse and 900 others were severely damaged. At Latakia University, ten students, three employees and a professor died. At least 48 people were killed in Hama, of which 43 were from the collapse of an eight-story building.","[-0.01849321  0.0199923  -0.00827902 ... -0.01108639 -0.01328731
 -0.03019968]",0.18949788892031227
35,"Despite an epicenter 90 km (56 mi) inland, a tsunami was recorded in the Mediterranean Sea. It was the first recorded tsunami in the eastern Mediterranean Sea region since the one produced by the 1953 ML  6.2 earthquake in Cyprus. The largest wave measured 40 cm (16 in) along the Mediterranean coast of Turkey. Although no underwater surveys results have been made available to identify the sources of these tsunamis, they were likely produced by landsliding at Iskenderun Port and liquefaction on the coastal flatlands of Antakya.","[-0.00237737 -0.0177222   0.00861878 ... -0.00751851  0.0084747
 -0.01263345]",0.191188276180151
66,"In Damascus, many people fled from their homes onto the streets. In the northern parts of the city, many buildings were cracked. Many buildings in Syria had already been damaged by an almost 12-year-long civil war. The Crusader-built castle Margat suffered damage, with part of a tower and parts of some walls collapsing. Cracks also opened up in the walls of the Krak des Chevaliers castle. The Citadel of Aleppo was also affected. In addition, one of the towers of Sahyun Castle near Latakia was destroyed. The minaret of the Grand Mosque in Kobanî was also damaged.","[ 0.00098427  0.00345814 -0.00417226 ...  0.00996025  0.00621408
 -0.00944895]",0.19217674684721664
34,"One of the largest landslides occurred near Tepehan village, Hatay Province; a translational slide which detached a block 1.3 km2 (0.50 sq mi). This landslide occurred in a region comprising marl and clay-rich limestone. It produced a 20 m (66 ft) vertical displacement along its scarp. ITV News reported the landslide scarp was up to 1,000 ft (300 m) long and ""wider than a football pitch"" in some areas.","[-0.00360749 -0.00560907  0.00810605 ...  0.0081925  -0.01682388
 -0.03109426]",0.19233996931899466
111,The International Seismological Centre has a bibliography and/or authoritative data for this event. – Mw  7.8 at 01:17 UTC,"[-0.00461192 -0.00965331  0.00214078 ...  0.00226136 -0.01045941
 -0.04146763]",0.19246235594545624
6,"The 700 km-long (430 mi) EAF is subdivided into seven segments, from the northeast; the Karlıova, Ilıca, Palu, Pütürge, Erkenek, Pazarcık and Amanos segments. The Amanos segment is also considered part of the DST by some geologists, or a transitional structure between the EAF and DST by others. A northern strand to the EAF has also been recognized, including the Sürgü, Çardak, Savrun, Çokak, Toprakkale, Yumurtalık, Karataş, Yakapınar and Düziçi–İskenderun segments. The estimated slip rate on the main strand of the EAF system decreases south-westwards from 10 mm (0.39 in) per year on the Karlıova segment down to 2.9 mm (0.11 in) per year on the Amanos segment. On the northern strand, a slip rate of 2.5 mm (0.098 in) per year was estimated on the Çardak segment. The Sürgü-Çardak Fault is an east–west striking 160 km (99 mi) long fault that runs north of the EAF. It branches away from the EAF west of Çelikhan and extends westwards to Göksun. Comprising two segments; the Sürgü Fault runs 70 km (43 mi) between Çelikhan and Nurhak; the Çardak Fault runs 90 km (56 mi) between Nurhak and Göksun. Seismicity on the fault is low—the only associated earthquake was a M 6.8 event in 1544.","[-0.00242012 -0.00686672 -0.00521337 ...  0.02712457 -0.00733911
 -0.03483336]",0.19293368610263262
63,"Cracks appeared in the Afrin Dam, and on 9 February, the it burst, flooding the village of Al-Tloul, which was exacerbated by heavy rains along the Afrin River basin. Nearly all its residents fled; about 500 families were displaced. In Atarib, 148 bodies arrived at an underground hospital. A doctor at the hospital said some bodies were missing their head or limbs. Various archaeological sites in Tartus Governorate were damaged, including the Khawabi Castle and Aleika Castle. Damage to historical towers and infrastructure were also reported in Tartus and Safita.","[-0.01172432  0.00674114 -0.01850992 ...  0.00322863 -0.00525679
  0.00267286]",0.19385002917500094
112,The International Seismological Centre has a bibliography and/or authoritative data for this event. – Mw  7.7 at 10:24 UTC,"[-0.00480401 -0.01691275  0.0039485  ...  0.0021618  -0.01216797
 -0.04395999]",0.1939611440519572
58,"The dead included member of the Grand National Assembly of Turkey for Adıyaman Yakup Taş, Yeni Malatyaspor goalkeeper Ahmet Eyüp Türkaslan, former Turkish national handball team player Cemal Kütahya and his five-year-old son, and Saul Cenudioğlu, leader of the Jewish community in Antakya, who died along with his wife. Former MP for Kahramanmaraş Sıtkı Güvenç died from earthquake injuries on 9 February. Three Turkish soldiers died during rescue operations. Twenty-six local journalists, four doctors, 120 police officers and 32 gendarmeries were among the dead.","[-0.00744616  0.00850142  0.00381871 ...  0.01002495 -0.00616007
 -0.00215503]",0.19542457662754364
104,"Govers, Rob (14 February 2023). ""The science behind an earthquake"". Utrecht: Utrecht University – via YouTube. ORCID 0000-0001-7148-8857","[ 0.00219941 -0.0273883   0.01935885 ...  0.00560124  0.00327491
 -0.0124717 ]",0.1981266893808149
77,"Syria made an appeal to UN member states, the International Committee of the Red Cross, and other humanitarian organizations for international aid. President Bashar al-Assad ordered all teams of the civil defense, firefighting, health and public construction groups to be mobilized in the affected governates. He also added that medical services, food and shelter were urgently needed. The Ministry of Internal Trade and Consumer Protection was ordered by President al-Assad to supply food and organize teams to distribute them. Technical teams were also on site to evaluate building conditions and evacuate residents in at-risk structures. The Ministry of Water Resources was tasked with rapidly assessing damage to dams, reservoirs and water stations, and ensuring people have access to water. Some hotels including in Latakia and Damascus offered to accommodate to survivors free of charge and ensure basic necessities. Refugees and expatriates also opened their homes as shelters for people. Sports facilities, events venues, university dormitories and halls were also opened to take in people. The Syria Trust for Development announced the establishment of shelters across many governorates. Volunteer groups inspected buildings for damage and distributed food items, blankets and first aid essentials. Many hospitals were overwhelmed by the large number of casualties and prior to the earthquakes, were already experiencing supply shortages.","[ 0.00146458 -0.00880445 -0.02024276 ... -0.01839634 -0.02647444
 -0.00617397]",0.19934089963827417
91,"On 18 February, Turkey's Health Minister Fahrettin Koca said there was an increase in intestinal and upper respiratory infection cases but ""numbers did not pose a serious threat to public health."" At a stadium serving as shelter in Kahramanmaraş, a clinic managed by 15 to 30 medics attended up to 10,000 patients in the day. The clinic provided tetanus shots and sanitary items to residents. Many people at the stadium were unable to shower and the six toilets were unable to accommodate to the large number of people. In Antakya, residents said more portable toilets were needed.","[ 0.0112106   0.00203534  0.00358876 ... -0.01434137 -0.0018747
 -0.0136578 ]",0.2002467186578717
94,"Condolences to Turkey and Syria were expressed by most countries that provided aid, as well as Bolivia, the Democratic Republic of the Congo, the Dominican Republic, Ghana, Grenada, Malawi, Monaco, Morocco, North Korea, Nicaragua, Peru, the Sahrawi Arab Democratic Republic, South Africa and Tonga.","[-0.0133901  -0.0226652  -0.00961475 ... -0.00641092 -0.00612679
  0.00394518]",0.2009126862892695
95,"President of the European Council Charles Michel and President of the European Commission Ursula von der Leyen expressed their solidarity with the Turkish and Syrian people and wished a speedy recovery to the injured. The African Union Commission, ASEAN and Organization of Turkic States, the latter of which Turkey is a founding member, also extended condolences.","[ 0.00916207 -0.02269637  0.00234762 ... -0.00481596  0.00495953
 -0.01677104]",0.20251521238359516
113,"""Kahramanmaraş Supersite science page"". Group on Earth Observations.","[ 0.00363716 -0.00807738 -0.00399185 ...  0.00289434 -0.00902766
 -0.02482774]",0.2108121723392402
45,"The collapse of the luxury Rönesans Rezidans apartment trapped an estimated 800 people, killing at least 269 and leaving 46 missing as presumed dead. In May 2023, an investigation by The New York Times found that inadequate design and safety lapses may have contributed to its collapse. An engineer revealed to the newspaper; ""the building violated the basic tenets of engineering,"" after inspecting its blueprints. Contractors of the building said they adhered to building regulations but those were not enough against the earthquake.","[ 0.00644074  0.00438569  0.00472253 ...  0.00503215 -0.01326936
 -0.03873292]",0.21426320648899388
81,"NATO secretary-general Jens Stoltenberg said that member countries were mobilizing support. The Strategic Airlift Capability was used to transport search and rescue equipment. NATO deployed ""fully equipped semi-permanent shelter facilities"" to house displaced persons in Turkey. Flags at NATO headquarters were also lowered to half-mast. A vessel carrying the first 600 of 1,000 containers for temporary housing left Taranto, Italy for Turkey to accommodate at least 4,000 people.","[-0.00912806 -0.03219642  0.00479571 ... -0.00495126 -0.00784391
 -0.01775305]",0.21748636668927634
79,"Arab League secretary-general Ahmed Aboul Gheit called for international assistance to help those affected by ""this humanitarian catastrophe"".","[-0.0295614  -0.00107215  0.02140122 ... -0.03302563  0.00367914
 -0.01025155]",0.2220628255947923
93,"President Recep Tayyip Erdoğan declared seven days of national mourning in Turkey. The same period of mourning was observed in Northern Cyprus, and one day was also declared in Albania, Bangladesh and Kosovo. On 13 February, all overseas diplomatic missions of North Macedonia lowered the Macedonian flags to half-mast.","[-0.00056157 -0.01519851  0.00389722 ...  0.01317508  0.02426817
 -0.028289  ]",0.22256460404612022
